name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 2",0307279189,1.22,4.49,0.00,3.99,,5.68,1.71," ",0307279189,9780307279187,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://www.amazon.com/dp/0307279189,"Random House",Vintage,Vintage,2011-03-29,Reprint,304,2362,$6.56,100,790,510,75,800,520,90,71,Vintage,$10.97,98,338,6,0,11
"Library - Family Room - Bookcase 2",1456532324,10.48,0.00,,,3.99,,,8.50,1456532324,9781456532321,"Manifest Destiny: How the stories we tell ourselves shape our lives",https://www.amazon.com/dp/1456532324,,"CreateSpace Independent Publishing Platform","CreateSpace Independent Publishing Platform",2011-01-07,,208,11453624,,50,850,540,55,850,550,47,43,"CreateSpace Independent Publishing Platform",,0,3,0,0,11
"Library - Family Room - Bookcase 2",0722123515,1.98,3.99,0.00,0.00,,5.96,5.99," ",0722123515,9780722123515,"Effective Presentation",https://www.amazon.com/dp/0722123515,,"Sphere Books","Sphere Books",1987,,112,,,39,764,504,4,,,,,"Sphere Books",,0,6,0,0,11
"Library - Family Room - Bookcase 2",1400048303,5.09,0.00,0.00,0.00,0.00,5.08,5.09,5.99,1400048303,9781400048304,"Wild Stories: The Best of Men's Journal",https://www.amazon.com/dp/1400048303,,"Broadway Books","Broadway Books",2003-05-13,Reprint,608,1098673,$12.34,120,800,520,140,800,520,130,140,"Broadway Books",$16.98,13,54,1,0,11
"Library - Family Room - Bookcase 2",0140442480,4.99,0.00,0.00,0.00,,4.99,5.59," ",0140442480,9780140442489,"Cervantes: Exemplary Stories (Penguin Classics)",https://www.amazon.com/dp/0140442480,,"Penguin Classics","Penguin Classics",1986-03-04,,256,1154480,$9.86,70,770,510,45,780,510,60,40,"Penguin Classics",$14.98,32,84,1,0,11
"Library - Family Room - Bookcase 2",0385423640,3.99,1.00,0.00,0.00,0.00,4.99,4.99,5.69,0385423640,9780385423649,"The Web of Inclusion",https://www.amazon.com/dp/0385423640,,"Doubleday Business","Doubleday Business",1995-05-01,"First Edition/First Printing",294,1069125,$6.00,120,930,630,135,950,650,125,,"Doubleday Business",$11.99,12,44,6,0,11
"Library - Family Room - Bookcase 2",0201550377,4.92,0.00,0.00,,3.99,4.99,,1.44,0201550377,9780201550375,"Finance And Accounting For Non-financial Managers, 3e, All The Basics You Need To Know",https://www.amazon.com/dp/0201550377,"Perseus Books","Basic Books","Basic Books",1990-01-21,Subsequent,600,2346990,$0.99,60,930,660,105,1000,650,50,,"Basic Books",$0.99,29,111,2,0,11
"Library - Family Room - Bookcase 2",0060170433,5.01,0.00,0.00,0.00,,5.99,5.99,,0060170433,9780060170431,"Rough Magic: Bill Walsh's Return to Stanford Football",https://www.amazon.com/dp/0060170433,,Harpercollins,Harpercollins,1994-07-01,1st,289,1346441,$26.55,130,930,610,125,950,650,125,,Harpercollins,,10,51,9,0,11
"Library - Family Room - Bookcase 2",0679411607,4.59,0.00,0.00,4.89,0.00,4.99,0.10,4.59,0679411607,9780679411604,"Billions and Billions: Thoughts on Life and Death at the Brink of the Millennium",https://www.amazon.com/dp/0679411607,"Random House Inc","Random House","Random House",1997-06-02,1st,244,1191706,$3.97,120,1000,630,120,975,650,125,,"Random House",,26,131,9,0,11
"Library - Family Room - Bookcase 2",006015862X,4.25,1.00,,3.96,,,1.29,,006015862X,9780060158620,"Morris Dictionary of Word and Phrase Origins",https://www.amazon.com/dp/006015862X,,"Collins Reference","Collins Reference",1988-05-17,Subsequent,688,374159,$9.66,140,930,650,160,925,613,197,188,"Collins Reference",$9.66,10,87,2,0,11
"Library - Family Room - Bookcase 2",0684845903,4.99,0.00,0.00,,,4.99,,,0684845903,9780684845906,"The Unemotional Investor : Simple Systems for Beating the Market",https://www.amazon.com/dp/0684845903,,"Simon & Schuster","Simon & Schuster",1998-05-12,,240,2867681,$2.99,90,940,640,90,1000,650,125,110,"Simon & Schuster",$15.99,21,66,2,0,11
